"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","0","1","0","0","0","77","0","17","0","45","0","0","0","0","0","0","1","0","189","131","0","0","0","0","1","0","0","0","0","0","0","0"
"ATL","1","4","0","0","0","0","0","22","0","0","0","20","0","0","0","1","0","0","0","0","399","61","0","0","0","0","0","0","0","1","0","0","5","5"
"BLT","1","1","1","0","0","0","0","50","0","8","0","24","0","0","0","0","1","0","0","0","212","134","0","0","0","0","1","0","0","0","0","0","3","3"
"BUF","1","0","0","0","0","1","0","48","0","0","0","37","0","0","0","0","0","0","1","0","156","220","0","0","0","0","0","1","0","0","0","0","-2","-2"
"CAR","1","4","1","0","0","0","0","69","0","12","0","17","0","0","0","1","0","0","0","0","310","58","0","0","0","0","0","1","0","0","0","0","7","7"
"CHI","1","1","2","1","0","0","0","92","0","17","0","38","0","0","0","0","0","0","1","0","277","108","0","0","0","0","0","1","0","0","0","0","3","3"
"CIN","1","2","0","1","0","0","0","65","0","0","0","45","0","0","0","0","0","0","1","0","358","198","0","0","0","0","0","0","0","0","0","1","0","0"
"CLV","1","4","2","2","0","1","0","42","0","46","0","26","0","0","0","0","1","0","0","0","365","114","0","0","0","0","0","0","0","1","0","0","14","14"
"DAL","1","1","0","0","0","0","0","26","0","11","0","20","0","0","0","1","0","0","0","0","178","130","0","0","0","0","1","0","0","0","0","0","2","2"
"DEN","1","6","2","3","2","0","0","38","0","23","0","10","0","0","1","0","0","0","0","0","194","69","0","0","0","1","0","0","0","0","0","0","32","32"
"DET","1","4","0","0","0","0","0","0","0","15","0","21","0","0","0","0","1","0","0","0","239","107","0","0","0","0","1","0","0","0","0","0","4","4"
"HST","1","4","2","1","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0","217","70","0","0","0","1","0","0","0","0","0","0","14","14"
"IND","1","2","2","3","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","175","135","0","0","0","0","1","0","0","0","0","0","19","19"
"JAX","1","1","0","0","0","0","0","5","0","21","0","20","0","0","0","1","0","0","0","0","139","141","0","0","0","1","0","0","0","0","0","0","2","2"
"KC","1","2","0","1","1","0","0","23","0","21","0","10","0","0","1","0","0","0","0","0","187","65","0","0","0","1","0","0","0","0","0","0","14","14"
"MIA","1","1","0","0","0","0","0","74","0","19","0","32","0","0","0","0","0","1","0","0","217","248","0","0","0","0","0","0","0","1","0","0","0","0"
"MIN","1","3","1","3","0","0","0","57","0","57","0","17","0","0","0","1","0","0","0","0","206","71","0","0","0","1","0","0","0","0","0","0","12","12"
"NE","1","2","0","2","1","0","1","179","1","3","0","31","0","0","0","0","0","1","0","0","333","134","0","0","0","0","0","0","0","1","0","0","24","24"
"NO","1","1","0","0","0","0","0","16","0","12","0","23","0","0","0","0","1","0","0","0","284","77","0","0","0","0","0","1","0","0","0","0","1","1"
"NYG","1","3","1","0","0","0","0","82","0","29","0","23","0","0","0","0","1","0","0","0","379","67","0","0","0","0","0","0","1","0","0","0","5","5"
"NYJ","1","1","0","0","0","0","0","193","0","8","0","37","0","0","0","0","0","0","1","0","241","88","0","0","0","0","1","0","0","0","0","0","-3","-3"
"PHI","1","2","0","0","0","0","0","73","0","14","0","21","0","0","0","0","1","0","0","0","269","121","0","0","0","0","0","1","0","0","0","0","2","2"
"LA","1","7","2","2","0","1","1","47","0","36","0","10","0","0","1","0","0","0","0","0","170","107","0","0","0","1","0","0","0","0","0","0","22","22"
"LAC","1","2","0","1","0","0","0","47","0","14","0","19","0","0","0","1","0","0","0","0","237","164","0","0","0","0","0","0","1","0","0","0","5","5"
"SF","1","1","0","0","0","0","0","21","0","6","0","39","0","0","0","0","0","0","1","0","202","146","0","0","0","0","1","0","0","0","0","0","-3","-3"
"TB","1","5","1","0","0","0","0","0","0","20","0","23","0","0","0","0","1","0","0","0","215","119","0","0","0","0","1","0","0","0","0","0","7","7"
"TEN","1","2","0","0","0","0","0","156","0","0","0","20","0","0","0","1","0","0","0","0","306","47","0","0","0","0","0","1","0","0","0","0","3","3"
"WAS","1","4","2","0","1","0","0","0","0","3","0","17","0","0","0","1","0","0","0","0","273","73","0","0","0","0","1","0","0","0","0","0","15","15"